arm	repeats	startup_seconds	startup_cv_percent	direct_wes_seconds	direct_cv_percent	variable_work_seconds	multiple_of_core	required_variable_seconds	predicted_cached_seconds	predicted_speedup	predicted_win
core	3	10.293879332	8.45287189823857	20.923064131	1.215513180415854	10.629184799	1.0	30.79399141630901	39.716663898332	0.5268081978023013	False
L5_revel	3	11.540527173	8.626042263678661	52.428200241	5.782152649415578	40.887673068	3.8467364940203814	30.79399141630901	43.020888941623994	1.2186684545765893	True
