arm	repeats	startup_seconds	startup_cv_percent	direct_wes_seconds	direct_cv_percent	variable_work_seconds	multiple_of_core	required_variable_seconds	predicted_cached_seconds	predicted_speedup	predicted_win
core	3	9.522498559	7.687844948351638	21.450519863	1.952798043075301	11.928021304	1.0	28.433476394849784	36.833604007672	0.5823627755386661	False
L1_clinvar	3	10.248373465	11.554793902262055	27.985820587	3.6833002235050634	17.737447122	1.4870401946760305	28.433476394849784	37.954519869296	0.7373514586240264	False
L2_clinvar_protein	3	10.68411396	7.160731962312883	28.984359731	7.932554141000299	18.300245771	1.534223095733666	28.433476394849784	38.428530672427996	0.7542406442252013	False
L3_alphamissense	3	10.061944205	6.190613724312238	32.817374576	3.0223983074780287	22.755430371	1.907728850498371	28.433476394849784	38.109313470228	0.8611379105959963	False
L4_gnomad_genes	3	11.298363316	2.803431109552848	34.66544935	4.577970298352263	23.367086034000003	1.9590077380364816	28.433476394849784	39.387325166311996	0.8801168701765355	False
